Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Citizenship,Family Position,Attendance,Field of Study,Special Needs,Target
1,17,6,9500.0,1.0,1.0,,1,3,38,2.0,9.0,125.7,1,0,0,1,0,0,20,0.0,0,7.0,8,6.0,13.548333333333334,,0.0,8.0,11.0,6,14.775,0,11.1,0.6,2.02,Warsaw,,Full-Time,Engineering,,Enrolled
1,18,3,9070.0,1.0,1.0,142.0,1,1,37,4.0,7.0,130.8,1,0,0,0,1,0,19,0.0,0,6.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0,0.0,0,12.7,3.7,-1.7,Venice,Middle Child,Online,Medicine,No Special Needs,Dropout
1,18,4,9119.0,1.0,1.0,,1,19,38,194.0,175.0,124.9,1,0,1,1,1,0,18,0.0,0,5.0,11,3.0,10.666666666666666,,0.0,5.0,9.0,3,11.333333333333334,0,8.9,1.4,3.51,Amsterdam,,Part-Time,Engineering,,Enrolled
1,17,1,9085.0,1.0,1.0,,1,19,37,1.0,3.0,131.5,0,0,0,1,0,0,21,0.0,0,5.0,10,0.0,0.0,,0.0,5.0,9.0,2,13.5,0,7.6,2.6,0.32,Brussels,,Evening Classes,Commerce,,Dropout
1,16,2,9238.0,1.0,1.0,,1,38,37,3.0,5.0,127.1,1,0,0,1,0,1,19,0.0,0,6.0,14,3.0,12.666666666666666,,0.0,6.0,7.0,6,11.0,0,9.4,-0.8,-3.12,Helsinki,,Full-Time,Medicine,,Graduate
2,39,1,9085.0,1.0,1.0,,1,37,37,6.0,6.0,150.0,0,0,0,1,1,0,43,0.0,0,5.0,8,5.0,13.5,,0.0,5.0,5.0,5,14.4,0,9.4,-0.8,-3.12,Oslo,,Part-Time,Arts,,Graduate
1,17,2,9147.0,1.0,1.0,129.0,1,2,3,2.0,2.0,128.3,1,0,0,1,0,0,19,0.0,0,5.0,10,3.0,11.0,0.0,0.0,5.0,9.0,4,11.75,0,12.7,3.7,-1.7,Munich,Middle Child,Online,Engineering,No Special Needs,Enrolled
1,1,1,9130.0,1.0,,,1,1,1,,4.0,120.4,1,0,0,1,0,0,18,,0,6.0,9,,,0.0,0.0,6.0,9.0,6,14.0,0,13.9,-0.3,0.79,,,Part-Time,Science,Special Needs,Graduate
1,17,1,9238.0,1.0,1.0,139.0,1,19,38,4.0,9.0,146.7,1,0,0,1,0,1,20,0.0,0,6.0,6,6.0,13.333333333333334,0.0,0.0,6.0,7.0,6,14.0,0,15.5,2.8,-4.06,Venice,First Child,Evening Classes,Arts,No Special Needs,Graduate
1,53,1,9003.0,1.0,42.0,,1,1,19,9.0,7.0,133.8,0,0,1,1,0,1,24,0.0,7,12.0,13,12.0,12.846153846153848,,5.0,11.0,13.0,11,12.636363636363637,0,8.9,1.4,3.51,Athens,,Full-Time,Commerce,,Graduate
1,1,1,9670.0,1.0,1.0,121.0,1,37,37,5.0,9.0,116.5,1,0,0,1,0,0,23,0.0,0,5.0,7,3.0,11.333333333333334,0.0,0.0,5.0,5.0,4,11.25,0,7.6,2.6,0.32,Sofia,First Child,Evening Classes,Commerce,Special Needs,Dropout
1,17,1,9773.0,1.0,1.0,,1,37,37,9.0,9.0,122.4,0,0,0,1,0,0,18,0.0,0,6.0,7,6.0,12.857142857142858,,0.0,6.0,6.0,6,13.333333333333334,0,13.9,-0.3,0.79,Brussels,,Part-Time,Engineering,,Graduate
1,17,5,9853.0,1.0,1.0,132.0,1,12,12,4.0,4.0,123.3,1,0,0,1,0,0,21,0.0,0,6.0,13,4.0,11.5,0.0,0.0,6.0,10.0,3,11.0,0,10.8,1.4,1.74,Munich,First Child,Part-Time,Arts,Special Needs,Dropout
1,7,1,9991.0,0.0,,,1,19,19,,9.0,130.0,0,0,0,0,1,0,32,,0,5.0,12,,,,0.0,5.0,9.0,2,15.0,0,16.2,0.3,-0.92,,,Evening Classes,Commerce,,Dropout
1,1,2,9070.0,1.0,1.0,,1,19,19,3.0,3.0,116.1,1,0,0,1,0,0,22,0.0,0,6.0,7,6.0,11.666666666666666,,0.0,6.0,7.0,5,13.2,0,12.7,3.7,-1.7,Helsinki,,Part-Time,Engineering,,Graduate
1,42,1,9119.0,1.0,1.0,,1,38,37,5.0,8.0,133.5,1,0,0,1,1,0,21,0.0,0,5.0,10,5.0,13.0,,0.0,5.0,10.0,5,12.6,0,9.4,-0.8,-3.12,,,Online,Commerce,,Graduate
1,1,1,9130.0,1.0,1.0,130.0,1,2,3,9.0,1.0,117.6,0,0,0,1,1,0,19,0.0,0,5.0,14,2.0,11.5,2.0,0.0,5.0,8.0,5,11.4,3,9.4,-0.8,-3.12,Dublin,Middle Child,Evening Classes,Engineering,No Special Needs,Enrolled
1,43,1,8014.0,0.0,12.0,133.1,1,37,1,9.0,10.0,112.5,0,0,0,1,1,0,50,0.0,6,13.0,13,6.0,11.333333333333334,0.0,2.0,11.0,11.0,2,13.5,0,16.2,0.3,-0.92,Barcelona,Middle Child,Evening Classes,Medicine,Special Needs,Dropout
1,1,3,9773.0,1.0,1.0,,11,19,19,4.0,9.0,133.9,1,0,0,1,1,1,18,1.0,0,6.0,7,6.0,13.5,,0.0,6.0,7.0,6,13.0,0,16.2,0.3,-0.92,Madrid,,Part-Time,Engineering,,Graduate
1,1,3,9147.0,1.0,1.0,115.0,1,1,38,3.0,8.0,109.8,1,0,0,1,0,1,19,0.0,0,5.0,5,5.0,13.4,0.0,0.0,5.0,5.0,5,12.6,0,8.9,1.4,3.51,Stockholm,Middle Child,Evening Classes,Medicine,Special Needs,Graduate
1,1,1,9147.0,1.0,1.0,,1,19,38,9.0,9.0,129.2,1,0,0,1,0,0,26,0.0,0,5.0,6,0.0,0.0,,0.0,5.0,0.0,0,0.0,0,15.5,2.8,-4.06,Milan,,Full-Time,Commerce,,Dropout
1,1,2,,1.0,1.0,,1,38,19,9.0,9.0,117.3,1,0,0,1,1,1,21,0.0,0,,0,0.0,,,,0.0,0.0,0,0.0,0,10.8,1.4,1.74,Edinburgh,,Evening Classes,Science,,Graduate
1,39,1,9254.0,1.0,1.0,100.0,1,3,19,3.0,5.0,115.0,0,0,0,0,1,0,24,0.0,0,6.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0,0.0,0,11.1,0.6,2.02,Athens,First Child,Full-Time,Commerce,Special Needs,Dropout
1,1,2,9070.0,1.0,1.0,,1,38,19,7.0,7.0,130.0,1,0,0,1,1,0,18,0.0,0,6.0,7,6.0,12.833333333333334,,0.0,6.0,7.0,6,12.571428571428571,0,8.9,1.4,3.51,Prague,,Evening Classes,Science,,Graduate
2,39,1,8014.0,0.0,1.0,,1,37,37,9.0,8.0,120.5,0,0,0,1,0,0,44,0.0,0,6.0,6,6.0,14.833333333333334,,0.0,6.0,6.0,6,14.166666666666666,0,10.8,1.4,1.74,Munich,,Full-Time,Medicine,,Graduate
1,39,1,9556.0,1.0,19.0,100.0,1,37,38,9.0,9.0,120.0,0,0,0,1,0,0,29,0.0,0,7.0,9,1.0,10.0,0.0,0.0,7.0,0.0,0,0.0,0,12.7,3.7,-1.7,Sofia,Middle Child,Evening Classes,Science,No Special Needs,Dropout
1,18,4,9254.0,1.0,1.0,106.0,1,19,37,7.0,7.0,106.0,1,0,0,1,1,1,21,0.0,0,6.0,8,4.0,10.5,0.0,0.0,6.0,11.0,1,11.0,0,9.4,-0.8,-3.12,Sofia,Youngest Child,Evening Classes,Medicine,No Special Needs,Dropout
1,43,1,9070.0,1.0,39.0,130.0,1,19,37,5.0,9.0,124.0,1,0,0,1,0,1,21,0.0,4,12.0,12,12.0,13.333333333333334,0.0,5.0,12.0,12.0,11,12.545454545454543,0,15.5,2.8,-4.06,Saint Petersburg,Middle Child,Evening Classes,Arts,Special Needs,Graduate
1,1,1,9147.0,1.0,1.0,143.0,1,1,19,3.0,3.0,133.9,0,0,0,1,0,1,18,0.0,0,5.0,5,5.0,15.0,0.0,0.0,5.0,5.0,5,15.2,0,12.7,3.7,-1.7,Warsaw,First Child,Full-Time,Engineering,No Special Needs,Graduate
1,1,6,9500.0,1.0,1.0,,1,19,37,9.0,9.0,132.3,1,0,0,1,0,1,19,0.0,0,8.0,8,7.0,14.06,,0.0,8.0,8.0,7,14.06,0,10.8,1.4,1.74,Amsterdam,,Online,Commerce,,Enrolled
2,7,1,9254.0,1.0,2.0,100.0,1,37,37,9.0,9.0,100.0,0,0,0,0,0,0,37,0.0,0,5.0,5,0.0,0.0,0.0,0.0,5.0,10.0,0,0.0,0,10.8,1.4,1.74,Munich,Youngest Child,Online,Arts,Special Needs,Dropout
1,1,4,9500.0,1.0,1.0,137.0,1,37,37,9.0,9.0,127.5,1,0,0,1,0,0,18,0.0,0,8.0,8,8.0,13.045,0.0,0.0,8.0,8.0,8,13.045,0,9.4,-0.8,-3.12,Helsinki,Middle Child,Evening Classes,Commerce,Special Needs,Graduate
2,39,1,9991.0,0.0,1.0,,1,37,3,9.0,3.0,168.2,0,0,0,1,1,0,45,0.0,0,5.0,6,5.0,14.0,,0.0,5.0,6.0,5,14.166666666666666,0,12.4,0.5,1.79,Oslo,,Online,Medicine,,Graduate
1,1,2,9147.0,1.0,1.0,,1,19,19,9.0,4.0,127.8,1,0,0,1,1,0,23,0.0,0,5.0,7,3.0,10.666666666666666,,0.0,5.0,7.0,3,11.333333333333334,0,9.4,-0.8,-3.12,Oslo,,Evening Classes,Arts,,Dropout
1,18,1,9670.0,1.0,1.0,128.0,1,19,3,9.0,7.0,120.0,1,0,0,1,0,0,19,0.0,0,6.0,8,6.0,14.125,0.0,0.0,6.0,10.0,5,14.5,0,11.1,0.6,2.02,Lisbon,First Child,Part-Time,Medicine,Special Needs,Graduate
1,1,1,9070.0,1.0,1.0,,1,3,3,9.0,9.0,136.0,1,0,1,0,0,1,19,0.0,0,6.0,6,6.0,11.833333333333334,,0.0,6.0,8.0,6,12.875,0,10.8,1.4,1.74,,,Online,Engineering,,Graduate
1,43,1,9991.0,0.0,1.0,161.0,1,37,37,9.0,9.0,100.0,1,0,0,1,0,0,27,0.0,0,5.0,5,0.0,0.0,0.0,0.0,5.0,5.0,0,0.0,0,7.6,2.6,0.32,Bucharest,Middle Child,Evening Classes,Arts,Special Needs,Dropout
1,17,1,9670.0,1.0,1.0,123.0,1,37,38,3.0,3.0,122.0,0,0,1,1,1,0,19,0.0,0,6.0,7,6.0,13.166666666666666,0.0,0.0,6.0,9.0,5,13.2,0,8.9,1.4,3.51,Lisbon,Youngest Child,Evening Classes,Arts,No Special Needs,Enrolled
1,1,3,9773.0,1.0,1.0,,1,1,38,4.0,7.0,157.0,1,0,0,1,0,0,18,0.0,0,6.0,6,6.0,12.666666666666666,,0.0,6.0,7.0,6,12.571428571428571,0,10.8,1.4,1.74,Barcelona,,Part-Time,Science,,Graduate
1,1,2,9500.0,1.0,1.0,133.1,1,37,37,9.0,9.0,99.0,1,0,0,1,1,0,22,0.0,0,7.0,9,6.0,12.833333333333334,0.0,0.0,8.0,12.0,6,12.5,0,16.2,0.3,-0.92,Barcelona,Youngest Child,Full-Time,Medicine,No Special Needs,Enrolled
1,17,1,9119.0,1.0,1.0,130.0,1,1,3,4.0,2.0,123.0,0,0,0,1,1,0,18,0.0,0,5.0,10,1.0,10.0,0.0,0.0,5.0,7.0,0,0.0,0,9.4,-0.8,-3.12,London,First Child,Part-Time,Commerce,Special Needs,Dropout
1,53,1,9085.0,1.0,42.0,,1,1,1,5.0,5.0,143.3,1,0,0,0,0,0,23,0.0,7,12.0,19,9.0,13.666666666666666,,4.0,9.0,15.0,6,13.5,0,8.9,1.4,3.51,Venice,,Evening Classes,Engineering,,Enrolled
1,17,3,9070.0,1.0,1.0,116.0,1,37,37,9.0,9.0,110.8,0,0,0,1,0,0,18,0.0,0,6.0,6,6.0,11.833333333333334,0.0,0.0,6.0,6.0,6,12.5,0,7.6,2.6,0.32,Helsinki,Middle Child,Part-Time,Science,No Special Needs,Enrolled
