Unnamed: 0,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Citizenship,Family Position,Attendance,Field of Study,Special Needs
57,1,39,1,,1.0,40.0,,1,3,3,2.0,2.0,155.3,1,0,0,1,0,0,27,0.0,0,,9,5.0,,,,11.0,13.0,10,12.9,0,12.4,0.5,1.79,Dropout,Athens,,Part-Time,Arts,
2343,1,17,2,9991.0,0.0,1.0,,1,37,19,9.0,4.0,118.5,0,0,0,1,1,0,23,0.0,0,5.0,6,4.0,13.0,,0.0,5.0,5.0,5,13.0,0,7.6,2.6,0.32,Graduate,London,,Online,Arts,
3198,1,7,1,9254.0,1.0,3.0,,1,19,19,3.0,3.0,110.0,0,0,0,1,1,0,35,0.0,0,6.0,7,0.0,0.0,,0.0,6.0,6.0,0,0.0,0,16.2,0.3,-0.92,Dropout,Istanbul,,Part-Time,Commerce,
1247,1,1,3,9238.0,1.0,,,1,19,19,,9.0,117.0,1,0,1,1,0,0,19,,0,6.0,0,,,,0.0,6.0,0.0,0,0.0,0,12.4,0.5,1.79,Dropout,,,Evening Classes,Arts,
24,1,1,1,9500.0,1.0,,,1,19,19,,7.0,123.9,0,0,0,1,0,0,19,,0,7.0,8,,,0.0,0.0,8.0,9.0,7,14.114285714285714,0,11.1,0.6,2.02,Graduate,,,Part-Time,Commerce,Special Needs
2360,1,39,1,9119.0,1.0,1.0,,1,19,19,9.0,7.0,110.3,0,0,1,1,1,0,24,0.0,0,5.0,12,1.0,10.0,,0.0,5.0,11.0,1,11.0,0,8.9,1.4,3.51,Enrolled,Helsinki,,Evening Classes,Commerce,
1261,1,42,1,9119.0,1.0,1.0,130.0,1,19,37,9.0,3.0,135.0,0,0,1,1,1,0,25,0.0,0,5.0,5,0.0,0.0,0.0,2.0,6.0,7.0,2,14.0,0,13.9,-0.3,0.79,Dropout,Zurich,First Child,Full-Time,Commerce,Special Needs
3982,1,17,1,9500.0,1.0,1.0,,1,1,19,4.0,3.0,125.4,1,0,0,1,0,0,19,0.0,0,7.0,13,5.0,12.5,,0.0,8.0,14.0,7,12.166666666666666,0,15.5,2.8,-4.06,Graduate,Budapest,,Full-Time,Engineering,
3521,1,17,1,171.0,1.0,1.0,125.0,1,37,37,7.0,9.0,134.1,1,0,0,1,1,0,24,0.0,12,17.0,19,13.0,11.642857142857142,0.0,12.0,17.0,25.0,12,11.25,0,11.1,0.6,2.02,Dropout,Zurich,Youngest Child,Full-Time,Medicine,No Special Needs
3882,1,1,1,9670.0,1.0,1.0,123.0,1,37,38,9.0,9.0,113.9,1,0,1,0,0,0,18,0.0,0,6.0,7,4.0,11.25,0.0,0.0,6.0,9.0,4,10.857142857142858,0,10.8,1.4,1.74,Dropout,Barcelona,Middle Child,Online,Commerce,Special Needs
2417,1,43,1,9991.0,0.0,1.0,,1,37,37,9.0,9.0,135.8,1,0,0,1,1,0,25,0.0,14,15.0,16,15.0,10.8,,13.0,14.0,14.0,14,11.357142857142858,0,9.4,-0.8,-3.12,Graduate,Vienna,,Full-Time,Arts,
3969,1,44,1,9991.0,0.0,39.0,,1,37,37,9.0,9.0,160.0,0,0,0,1,0,0,26,0.0,0,5.0,5,5.0,12.0,,0.0,5.0,7.0,5,11.4,0,12.7,3.7,-1.7,Graduate,Athens,,Full-Time,Arts,
2106,1,16,1,9070.0,1.0,1.0,145.0,1,1,1,3.0,3.0,146.1,1,0,0,1,0,0,18,0.0,0,6.0,6,1.0,15.0,0.0,0.0,6.0,7.0,4,12.5,0,9.4,-0.8,-3.12,Enrolled,Athens,Middle Child,Online,Arts,No Special Needs
1409,1,15,1,9147.0,1.0,1.0,,1,38,1,9.0,1.0,150.0,0,0,0,1,1,0,19,0.0,0,5.0,5,5.0,10.6,,0.0,5.0,8.0,5,11.6,0,12.4,0.5,1.79,Graduate,Istanbul,,Full-Time,Commerce,
2078,1,17,2,9500.0,1.0,1.0,146.0,1,3,3,3.0,6.0,133.4,1,0,0,1,0,0,18,0.0,0,7.0,8,7.0,12.5,0.0,0.0,8.0,9.0,7,13.042857142857144,0,13.9,-0.3,0.79,Graduate,,Youngest Child,Online,Commerce,No Special Needs
3625,1,1,1,9238.0,1.0,,,1,19,38,,5.0,121.0,0,0,0,1,0,0,20,,0,6.0,13,,,0.0,0.0,6.0,13.0,1,13.0,0,9.4,-0.8,-3.12,Enrolled,,,Online,Medicine,No Special Needs
2672,1,1,2,9254.0,1.0,1.0,120.0,1,19,1,9.0,8.0,117.2,0,0,0,1,1,0,21,0.0,0,6.0,8,3.0,12.0,0.0,0.0,6.0,9.0,1,11.0,0,15.5,2.8,-4.06,Dropout,Oslo,Middle Child,Part-Time,Arts,No Special Needs
4369,1,1,1,9500.0,1.0,1.0,,1,2,2,3.0,3.0,120.0,1,0,0,1,1,0,18,0.0,0,7.0,8,6.0,11.833333333333334,,0.0,7.0,8.0,6,11.833333333333334,0,7.6,2.6,0.32,Enrolled,Zurich,,Part-Time,Science,
1976,1,1,4,9500.0,1.0,1.0,,1,19,19,3.0,3.0,110.0,1,0,0,1,0,0,19,0.0,0,7.0,12,4.0,12.85,,0.0,7.0,7.0,7,12.62142857142857,0,11.1,0.6,2.02,Enrolled,,,Part-Time,Arts,
2476,1,43,2,9500.0,1.0,1.0,130.0,1,38,37,4.0,4.0,126.8,1,0,0,1,1,1,28,0.0,18,23.0,23,20.0,13.5,3.0,18.0,23.0,23.0,20,13.5,3,7.6,2.6,0.32,Graduate,Amsterdam,First Child,Full-Time,Arts,Special Needs
409,4,39,1,9085.0,1.0,1.0,133.1,1,34,34,0.0,0.0,128.2,0,0,0,1,0,0,25,0.0,0,5.0,5,0.0,0.0,0.0,0.0,5.0,5.0,0,0.0,0,7.6,2.6,0.32,Dropout,Paris,First Child,Full-Time,Commerce,No Special Needs
1727,1,44,1,9130.0,1.0,39.0,,1,38,37,4.0,9.0,130.0,1,0,0,1,0,1,20,0.0,0,6.0,11,4.0,12.0,,0.0,6.0,9.0,4,10.75,0,16.2,0.3,-0.92,Enrolled,Bucharest,,Part-Time,Engineering,
3724,1,1,2,9670.0,1.0,1.0,,1,1,1,9.0,9.0,116.1,1,0,0,1,1,1,18,0.0,0,5.0,6,4.0,12.25,,0.0,5.0,5.0,5,12.2,0,9.4,-0.8,-3.12,Dropout,Sofia,,Evening Classes,Engineering,
2318,1,1,1,9070.0,1.0,1.0,148.0,1,1,1,4.0,8.0,141.4,0,0,0,1,1,0,19,0.0,0,6.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0,0.0,0,15.5,2.8,-4.06,Dropout,London,First Child,Evening Classes,Science,No Special Needs
2013,2,39,1,9853.0,1.0,1.0,,1,37,37,9.0,9.0,95.5,0,0,1,0,0,0,32,0.0,0,6.0,6,0.0,0.0,,0.0,5.0,10.0,0,0.0,0,10.8,1.4,1.74,Dropout,Dublin,,Online,Commerce,
516,2,39,1,9003.0,1.0,1.0,,1,37,19,9.0,4.0,148.8,0,0,0,1,0,0,50,0.0,0,6.0,7,6.0,12.5,,0.0,6.0,15.0,5,12.4,0,8.9,1.4,3.51,Graduate,Amsterdam,,Online,Arts,
1842,1,1,1,9147.0,1.0,1.0,,1,1,38,3.0,6.0,155.2,0,0,0,1,1,1,18,0.0,0,5.0,5,5.0,11.8,,0.0,5.0,8.0,3,11.0,0,9.4,-0.8,-3.12,Graduate,Helsinki,,Part-Time,Medicine,
2159,1,17,4,9254.0,1.0,1.0,,1,37,37,5.0,8.0,128.5,1,0,0,1,0,1,18,0.0,0,6.0,14,2.0,11.0,,0.0,6.0,14.0,3,10.333333333333334,0,7.6,2.6,0.32,Dropout,Prague,,Online,Arts,
1483,1,17,1,9254.0,1.0,1.0,,1,1,1,9.0,9.0,124.3,0,0,0,1,0,1,19,0.0,0,6.0,8,6.0,11.166666666666666,,0.0,6.0,7.0,4,13.4,0,16.2,0.3,-0.92,Graduate,Rome,,Full-Time,Arts,
2077,1,17,1,9500.0,1.0,1.0,,1,19,37,4.0,8.0,136.8,1,0,0,1,0,0,18,0.0,0,8.0,9,8.0,14.3775,,0.0,8.0,9.0,8,14.3775,1,9.4,-0.8,-3.12,Graduate,Vienna,,Evening Classes,Science,
1820,1,43,1,9085.0,1.0,1.0,130.0,1,19,38,4.0,9.0,130.0,1,0,0,0,0,0,19,0.0,0,6.0,12,5.0,13.0,0.0,0.0,6.0,12.0,3,11.666666666666666,0,13.9,-0.3,0.79,Enrolled,Athens,Youngest Child,Part-Time,Science,No Special Needs
416,1,1,1,9085.0,1.0,1.0,,1,1,1,9.0,9.0,127.4,1,0,0,1,0,0,19,0.0,0,6.0,13,6.0,15.23076923076923,,0.0,6.0,10.0,6,12.375,0,15.5,2.8,-4.06,Graduate,Brussels,,Online,Arts,
3817,1,17,1,9003.0,1.0,1.0,,1,38,37,5.0,9.0,131.4,1,0,0,1,1,1,23,0.0,17,18.0,19,18.0,11.894736842105264,,12.0,13.0,13.0,13,12.923076923076923,0,15.5,2.8,-4.06,Graduate,Helsinki,,Evening Classes,Commerce,
377,1,1,1,9500.0,1.0,1.0,,1,1,1,4.0,4.0,141.0,1,0,0,1,0,1,18,0.0,0,7.0,7,7.0,15.135714285714286,,0.0,8.0,8.0,8,15.287499999999998,0,12.4,0.5,1.79,Graduate,Bucharest,,Evening Classes,Arts,
1857,1,15,1,9238.0,1.0,,,26,19,1,,9.0,146.5,1,0,1,0,1,0,22,,0,6.0,10,,,,0.0,6.0,8.0,5,12.4,0,13.9,-0.3,0.79,Graduate,,,Online,Science,
3201,1,1,1,9773.0,1.0,1.0,,1,1,3,4.0,1.0,135.2,1,0,0,1,1,0,18,0.0,0,6.0,7,6.0,14.166666666666666,,0.0,6.0,6.0,6,12.833333333333334,0,9.4,-0.8,-3.12,Graduate,Warsaw,,Part-Time,Medicine,
693,1,39,1,33.0,1.0,1.0,,41,38,37,9.0,8.0,100.0,0,0,1,0,1,0,35,1.0,0,7.0,18,3.0,11.25,,0.0,7.0,7.0,0,0.0,0,16.2,0.3,-0.92,Dropout,Munich,,Full-Time,Arts,
3512,1,1,1,171.0,1.0,1.0,140.0,1,19,19,1.0,1.0,129.5,1,0,0,1,1,0,20,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,10.8,1.4,1.74,Dropout,Dublin,Youngest Child,Online,Commerce,Special Needs
1208,1,7,1,8014.0,0.0,3.0,,1,37,38,0.0,5.0,130.0,0,0,0,0,0,0,28,0.0,0,6.0,12,1.0,11.0,,0.0,6.0,0.0,0,0.0,0,12.7,3.7,-1.7,Dropout,Oslo,,Part-Time,Medicine,
3033,1,5,2,9238.0,1.0,1.0,,1,40,38,2.0,9.0,118.1,1,0,0,1,0,0,19,0.0,0,6.0,6,6.0,14.0,,0.0,6.0,6.0,6,13.333333333333334,0,8.9,1.4,3.51,Graduate,Munich,,Part-Time,Science,
3277,1,1,1,9147.0,1.0,1.0,102.0,1,38,38,9.0,9.0,99.6,1,0,0,1,0,1,21,0.0,0,5.0,10,5.0,13.714285714285714,0.0,0.0,5.0,7.0,5,14.4,0,11.1,0.6,2.02,Graduate,Sofia,Middle Child,Part-Time,Commerce,No Special Needs
158,1,1,3,9238.0,1.0,1.0,,1,19,1,9.0,10.0,123.6,1,0,0,1,0,0,20,0.0,0,6.0,10,4.0,11.0,,0.0,6.0,9.0,6,11.833333333333334,0,9.4,-0.8,-3.12,Graduate,Vienna,,Full-Time,Medicine,
4282,1,18,2,9147.0,1.0,1.0,140.0,1,37,37,5.0,9.0,124.3,1,0,0,1,1,0,20,0.0,0,5.0,7,4.0,10.75,0.0,0.0,5.0,12.0,3,10.571428571428571,0,10.8,1.4,1.74,Dropout,Bucharest,Middle Child,Evening Classes,Engineering,No Special Needs
976,1,39,1,9500.0,1.0,19.0,133.1,1,38,38,9.0,8.0,106.0,1,0,0,1,1,0,24,0.0,0,7.0,7,6.0,12.666666666666666,1.0,0.0,7.0,7.0,6,12.666666666666666,1,7.6,2.6,0.32,Graduate,Athens,Middle Child,Full-Time,Science,No Special Needs
2424,1,39,2,9119.0,1.0,1.0,,1,37,37,5.0,5.0,128.0,0,0,0,1,1,0,30,0.0,0,2.0,2,0.0,0.0,,0.0,2.0,2.0,0,0.0,0,7.6,2.6,0.32,Dropout,Prague,,Evening Classes,Engineering,
4351,1,1,3,9070.0,1.0,1.0,150.0,1,1,1,4.0,8.0,131.5,1,0,0,1,0,0,20,0.0,0,6.0,6,6.0,12.5,0.0,0.0,6.0,6.0,6,12.833333333333334,0,7.6,2.6,0.32,Graduate,Edinburgh,Middle Child,Evening Classes,Arts,No Special Needs
567,1,17,4,9119.0,1.0,1.0,,1,34,36,0.0,5.0,118.9,1,0,0,1,1,0,18,0.0,0,5.0,9,3.0,11.666666666666666,,0.0,5.0,10.0,3,11.333333333333334,4,7.6,2.6,0.32,Dropout,Madrid,,Online,Engineering,
3595,1,44,1,9003.0,1.0,39.0,,1,19,38,9.0,10.0,140.0,0,0,0,1,1,0,19,0.0,0,6.0,15,3.0,13.25,,0.0,6.0,9.0,1,12.0,0,13.9,-0.3,0.79,Dropout,London,,Full-Time,Engineering,
1211,1,17,1,9238.0,1.0,1.0,123.0,1,1,1,9.0,9.0,113.2,0,0,0,1,0,1,20,0.0,0,6.0,11,4.0,10.75,0.0,0.0,6.0,13.0,5,11.5,0,15.5,2.8,-4.06,Enrolled,Warsaw,Youngest Child,Full-Time,Medicine,Special Needs
1400,1,1,2,171.0,1.0,1.0,,1,1,3,3.0,3.0,138.3,1,0,0,1,0,0,18,0.0,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0,12.4,0.5,1.79,Enrolled,Zurich,,Evening Classes,Engineering,
2892,1,1,2,9670.0,1.0,1.0,,1,1,19,4.0,7.0,135.9,1,0,0,1,0,1,18,0.0,0,6.0,6,6.0,13.166666666666666,,0.0,6.0,8.0,6,12.428571428571429,0,8.9,1.4,3.51,Graduate,Oslo,,Evening Classes,Engineering,
4141,1,7,1,9070.0,1.0,3.0,,1,3,5,2.0,2.0,120.0,1,0,0,1,0,0,32,0.0,0,3.0,3,2.0,16.0,,0.0,3.0,3.0,1,16.0,0,7.6,2.6,0.32,Dropout,Paris,,Evening Classes,Engineering,
3686,1,1,1,9147.0,1.0,1.0,133.1,1,34,34,0.0,0.0,125.3,0,0,0,1,1,0,26,0.0,11,15.0,15,11.0,10.818181818181818,0.0,12.0,14.0,15.0,11,11.636363636363637,1,7.6,2.6,0.32,Dropout,Barcelona,Youngest Child,Part-Time,Science,No Special Needs
3327,1,39,1,9130.0,1.0,39.0,,1,1,3,4.0,1.0,150.0,0,0,0,1,1,0,28,0.0,0,6.0,9,0.0,0.0,,0.0,6.0,8.0,1,10.0,1,16.2,0.3,-0.92,Dropout,Bucharest,,Online,Science,
3896,1,17,5,9070.0,1.0,1.0,125.0,1,19,1,5.0,5.0,122.6,1,0,0,1,1,0,22,0.0,0,6.0,6,1.0,11.0,0.0,0.0,6.0,6.0,0,0.0,0,9.4,-0.8,-3.12,Enrolled,Zurich,First Child,Part-Time,Medicine,Special Needs
1759,1,1,4,9500.0,1.0,1.0,117.0,1,1,1,4.0,7.0,109.3,1,0,0,1,0,1,18,0.0,0,7.0,7,7.0,13.117142857142856,0.0,0.0,8.0,9.0,7,12.6,0,11.1,0.6,2.02,Graduate,Paris,Middle Child,Evening Classes,Medicine,No Special Needs
4318,1,1,1,171.0,1.0,1.0,,41,1,1,9.0,7.0,163.1,1,0,0,0,0,0,19,1.0,6,12.0,12,12.0,15.25,,4.0,11.0,12.0,11,15.0,0,8.9,1.4,3.51,Graduate,Edinburgh,,Part-Time,Medicine,
202,1,1,4,9500.0,1.0,1.0,140.0,1,19,19,7.0,7.0,129.5,1,0,0,1,0,0,18,0.0,0,8.0,8,7.0,12.324285714285711,0.0,0.0,8.0,8.0,7,12.324285714285711,0,10.8,1.4,1.74,Graduate,Oslo,First Child,Evening Classes,Commerce,Special Needs
922,1,17,6,9238.0,1.0,1.0,131.0,1,1,3,4.0,2.0,131.7,1,0,0,1,0,0,18,0.0,0,6.0,8,4.0,11.75,0.0,0.0,6.0,8.0,4,12.25,0,9.4,-0.8,-3.12,Dropout,Paris,First Child,Online,Science,Special Needs
18,1,1,1,9130.0,1.0,1.0,137.0,1,3,19,3.0,5.0,136.3,1,0,0,1,0,0,20,0.0,0,5.0,8,4.0,12.5,1.0,0.0,5.0,8.0,4,12.25,2,10.8,1.4,1.74,Graduate,Stockholm,First Child,Part-Time,Engineering,Special Needs
2352,1,1,1,9130.0,1.0,1.0,,1,3,3,1.0,2.0,149.2,0,0,0,1,1,0,18,0.0,0,5.0,7,4.0,14.0,,0.0,5.0,5.0,5,14.2,0,7.6,2.6,0.32,Graduate,,,Evening Classes,Arts,
3453,1,1,6,9500.0,1.0,1.0,,1,37,38,9.0,9.0,131.5,1,0,0,1,0,1,19,0.0,0,8.0,8,7.0,12.657142857142857,,0.0,8.0,8.0,7,12.657142857142857,0,12.7,3.7,-1.7,Graduate,Helsinki,,Full-Time,Engineering,
2730,1,1,1,9238.0,1.0,1.0,133.0,1,4,1,5.0,5.0,131.6,0,0,0,1,0,0,18,0.0,0,6.0,7,6.0,13.833333333333334,0.0,0.0,6.0,7.0,6,13.714285714285714,0,11.1,0.6,2.02,Graduate,Paris,Middle Child,Part-Time,Science,Special Needs
417,1,1,1,9853.0,1.0,1.0,133.1,1,19,19,9.0,9.0,97.0,1,0,0,1,0,0,23,0.0,0,6.0,9,5.0,11.6,0.0,0.0,6.0,9.0,3,11.0,0,12.7,3.7,-1.7,Dropout,Vienna,Middle Child,Part-Time,Arts,No Special Needs
4204,1,1,1,9238.0,1.0,1.0,123.0,1,34,38,0.0,7.0,120.2,1,0,0,1,0,0,20,0.0,0,6.0,9,5.0,11.8,0.0,0.0,6.0,10.0,4,11.5,0,7.6,2.6,0.32,Dropout,Lisbon,First Child,Online,Science,No Special Needs
449,1,1,3,9254.0,1.0,1.0,122.0,1,19,38,3.0,10.0,114.3,1,0,0,1,0,1,20,0.0,0,6.0,8,5.0,12.8,0.0,0.0,6.0,9.0,5,12.8,0,12.4,0.5,1.79,Enrolled,Edinburgh,Youngest Child,Part-Time,Engineering,Special Needs
4244,1,1,1,171.0,1.0,1.0,150.0,1,3,3,2.0,5.0,154.6,1,0,0,1,0,0,19,0.0,6,12.0,13,12.0,12.333333333333334,0.0,4.0,11.0,12.0,10,12.727272727272728,0,8.9,1.4,3.51,Dropout,Dublin,Youngest Child,Online,Science,No Special Needs
737,1,17,2,9254.0,1.0,1.0,130.0,1,37,37,5.0,7.0,123.4,1,0,0,1,1,0,30,0.0,0,6.0,17,2.0,10.0,0.0,0.0,6.0,15.0,3,11.333333333333334,0,7.6,2.6,0.32,Dropout,Brussels,Youngest Child,Evening Classes,Arts,Special Needs
1949,1,18,1,9500.0,1.0,1.0,115.0,1,38,37,5.0,5.0,115.0,0,0,0,1,0,0,20,0.0,0,7.0,13,6.0,11.7725,0.0,0.0,8.0,9.0,7,12.33,0,15.5,2.8,-4.06,Graduate,Amsterdam,First Child,Online,Engineering,No Special Needs
2068,1,18,4,9853.0,,1.0,123.0,1,19,38,4.0,,123.7,1,0,0,1,0,0,19,,0,6.0,8,5.0,12.666666666666666,0.0,0.0,,,5,,0,15.5,,-4.06,Enrolled,,Middle Child,Part-Time,Arts,Special Needs
1646,1,1,2,171.0,,1.0,,1,1,19,3.0,,121.6,1,0,0,1,0,0,22,,6,12.0,12,12.0,12.916666666666666,,4.0,,,11,,0,8.9,,3.51,Graduate,,,Part-Time,Engineering,
3786,1,17,2,171.0,1.0,1.0,,41,1,1,2.0,3.0,148.6,1,0,0,1,1,0,20,1.0,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0,11.1,0.6,2.02,Dropout,Istanbul,,Online,Arts,
539,1,18,3,9773.0,1.0,,,1,19,1,,9.0,122.1,1,0,0,1,1,0,19,,0,6.0,9,,,,0.0,6.0,6.0,6,11.333333333333334,0,10.8,1.4,1.74,Dropout,,,Full-Time,Arts,
1311,1,1,1,9085.0,1.0,1.0,,1,37,37,9.0,6.0,126.5,1,0,0,1,0,1,18,0.0,0,6.0,13,6.0,16.46153846153846,,0.0,6.0,8.0,6,13.875,0,15.5,2.8,-4.06,Graduate,Dublin,,Part-Time,Engineering,
3792,1,18,1,9119.0,1.0,1.0,122.0,1,19,1,90.0,3.0,116.1,1,0,1,0,1,0,24,0.0,0,5.0,8,0.0,0.0,0.0,0.0,5.0,5.0,0,0.0,0,9.4,-0.8,-3.12,Dropout,Lisbon,Youngest Child,Evening Classes,Commerce,Special Needs
3718,1,43,1,9147.0,1.0,1.0,122.0,1,1,38,1.0,7.0,118.9,0,0,0,1,1,0,21,0.0,0,5.0,11,2.0,10.5,0.0,0.0,5.0,13.0,0,0.0,0,12.7,3.7,-1.7,Dropout,Amsterdam,Middle Child,Part-Time,Arts,Special Needs
2798,1,42,1,9500.0,1.0,1.0,150.0,1,19,1,9.0,3.0,110.0,1,0,0,1,1,1,33,0.0,6,14.0,20,14.0,13.072857142857144,6.0,6.0,14.0,20.0,14,13.072857142857144,6,9.4,-0.8,-3.12,Graduate,Zurich,First Child,Evening Classes,Medicine,No Special Needs
3228,1,1,2,9500.0,1.0,1.0,115.0,1,38,38,9.0,8.0,108.4,1,0,0,1,0,1,20,0.0,0,7.0,8,7.0,11.9625,0.0,0.0,8.0,9.0,8,13.044444444444444,0,13.9,-0.3,0.79,Graduate,Brussels,First Child,Online,Medicine,No Special Needs
1198,1,1,1,9238.0,1.0,1.0,,1,1,19,4.0,4.0,137.2,0,0,0,0,0,0,18,0.0,0,6.0,6,6.0,14.5,,0.0,6.0,6.0,6,15.166666666666666,0,10.8,1.4,1.74,Graduate,Saint Petersburg,,Part-Time,Commerce,
3460,1,1,2,9500.0,1.0,1.0,,1,38,37,9.0,7.0,125.0,1,0,0,1,0,1,19,0.0,0,7.0,7,6.0,12.9,,0.0,7.0,7.0,6,12.9,0,7.6,2.6,0.32,Graduate,London,,Online,Medicine,
2632,1,43,1,9500.0,1.0,1.0,130.0,1,1,1,7.0,4.0,136.0,1,0,0,1,1,0,22,0.0,0,8.0,9,8.0,12.55375,1.0,0.0,8.0,9.0,8,12.55375,1,9.4,-0.8,-3.12,Graduate,Istanbul,Middle Child,Evening Classes,Engineering,Special Needs
40,1,1,5,9773.0,1.0,1.0,,1,3,3,2.0,2.0,121.1,0,0,1,1,0,0,18,0.0,0,6.0,6,4.0,12.75,,0.0,5.0,5.0,0,0.0,0,12.7,3.7,-1.7,Dropout,Berlin,,Part-Time,Medicine,
535,1,43,1,9991.0,0.0,1.0,,1,3,3,4.0,4.0,100.0,1,0,0,1,1,0,24,0.0,0,5.0,10,4.0,11.5,,0.0,5.0,11.0,5,11.285714285714286,0,13.9,-0.3,0.79,Graduate,Warsaw,,Evening Classes,Arts,
1855,4,39,2,9670.0,1.0,19.0,133.1,1,19,1,90.0,90.0,103.0,0,0,0,0,1,0,34,0.0,0,6.0,6,0.0,0.0,0.0,0.0,6.0,9.0,0,0.0,0,10.8,1.4,1.74,Dropout,Munich,Middle Child,Online,Commerce,No Special Needs
600,1,7,1,9130.0,1.0,3.0,,1,19,38,9.0,9.0,140.0,1,0,0,1,0,0,23,0.0,0,6.0,0,0.0,0.0,,0.0,6.0,0.0,0,0.0,0,12.4,0.5,1.79,Dropout,Berlin,,Part-Time,Arts,
